game.frametime_average,game.frametime_variance,game.time,network.acks_received,network.acks_sent,network.adapter,network.bytes_received,network.bytes_sent,network.connects,network.connects_received,network.connects_rejected,network.connects_sent,network.disconnects,network.messages_limited,network.messages_received,network.messages_redundant,network.messages_resent,network.messages_sent,network.never_connected,network.packets_acked,network.packets_limited,network.packets_lost,network.packets_outofseq,network.packets_received,network.packets_sent,network.peer_address,network.peer_port,network.processing_time,network.reconnects,network.reconnects_rejected,network.rtt_average,network.rtt_jitter,network.status,player.id,stats.duration,stats.version,
0.007214,0.000000,920.153931,299,373,Ethernet,130424,22871,0,0,0,0,0,0,3243,0,0,400,0,299,0,0,0,672,671,162.249.78.111,5277,0.017885,0,0,0.120862,0.003954,Connected,150742302,10.005930,7,
0.007328,0.000005,930.156372,280,382,Ethernet,138756,22605,0,0,0,0,0,0,3511,0,0,395,0,280,0,0,0,662,664,162.249.78.111,5277,0.018049,0,0,0.121842,0.004734,Connected,150742302,10.002223,7,
0.007198,0.000001,940.161865,254,359,Ethernet,116355,20279,0,0,0,0,0,0,3241,0,0,350,0,254,0,0,0,613,613,162.249.78.111,5277,0.016459,0,0,0.121131,0.004989,Connected,150742302,10.004580,7,
0.007055,0.000000,950.165588,209,299,Ethernet,70427,16686,0,0,0,0,0,0,2249,0,0,278,0,209,0,0,0,508,507,162.249.78.111,5277,0.013457,0,0,0.120013,0.003957,Connected,150742302,10.003513,7,
0.007187,0.000001,960.170349,252,338,Ethernet,88687,19144,0,0,0,0,0,0,2539,0,0,319,0,252,0,0,0,590,590,162.249.78.111,5277,0.016208,0,0,0.120023,0.003811,Connected,150742302,10.004235,7,
0.007121,0.000001,970.176514,247,323,Ethernet,80455,19563,0,0,0,0,0,0,2574,0,0,308,0,247,0,0,0,570,570,162.249.78.111,5277,0.014981,0,0,0.120980,0.004450,Connected,150742302,10.005637,7,
0.007228,0.000001,980.179504,254,296,Ethernet,80824,18913,0,0,0,0,0,0,2142,0,0,330,0,254,0,0,0,550,551,162.249.78.111,5277,0.014693,0,0,0.120372,0.004392,Connected,150742302,10.003013,7,
0.007361,0.000006,990.183594,244,301,Ethernet,81461,19135,0,0,0,0,0,0,2362,0,0,331,0,245,0,0,0,545,545,162.249.78.111,5277,0.014233,0,0,0.126861,0.007674,Connected,150742302,10.003548,7,
0.007227,0.000001,1000.186523,279,336,Ethernet,103040,20777,0,0,0,0,0,0,2782,0,0,357,0,279,0,0,0,615,614,162.249.78.111,5277,0.016256,0,0,0.122389,0.005654,Connected,150742302,10.002383,7,
0.007242,0.000000,1010.188965,279,333,Ethernet,97079,20906,0,0,0,0,0,0,2683,0,0,362,0,279,0,0,0,612,612,162.249.78.111,5277,0.015935,0,0,0.122087,0.004973,Connected,150742302,10.001619,7,
0.007441,0.000001,1020.190002,244,324,Ethernet,98895,19480,0,0,0,0,0,0,2861,0,0,329,0,244,0,0,0,568,569,162.249.78.111,5277,0.015235,0,0,0.121875,0.004941,Connected,150742302,10.000654,7,
0.007666,0.000001,1030.194092,284,368,Ethernet,131452,22578,0,0,0,0,0,0,3523,0,0,383,0,284,0,0,0,652,653,162.249.78.111,5277,0.017682,0,0,0.120660,0.004029,Connected,150742302,10.004110,7,
